title,Title,Genre,keywords,tagline,Description,runtime,release_date,homepage,original_language,spoken_languages,production_countries,production_companies,budget,revenue,vote_count,Rating
Small Time Crooks,Small Time Crooks,"Action, Comedy, Crime","bank, restaurant, role of women, bank robber, wife, pizzeria, pizza, keks, independent film, bank robbery, hoodlum",They took a bite out of crime,A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.,94,19/05/2000,,en,English,United States of America,DreamWorks SKG,0,0,155,6.4
Center Stage,Center Stage,"Drama, Music","new york, competition, dancer, dance, ball, career, ballet dancer, music, entrance examination, ballet, dance teacher",Life doesn't hold tryouts.,A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.,115,12/05/2000,,en,English,United States of America,Columbia Pictures,18000000,17200925,90,6.8
Love the Coopers,Love the Coopers,"Comedy, Family","big family, family relationships, family, woman director, christmas","Christmas means comfort, joy and chaos.","When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday.",107,12/11/2015,http://www.cbsfilms.com/love-the-coopers/,en,English,United States of America,"Imagine Entertainment, Groundswell Productions, CBS Films",17000000,24000000,167,5.4
Catch That Kid,Catch That Kid,"Family, Action, Adventure",bank robbery,They're on a mission without permission.,"Athletic 12-year-old Maddy (Kristen Stewart) shares an enthusiasm for mountain climbing with her father, Tom (Sam Robards). Unfortunately, Tom suffers a spinal injury while scaling Mount Everest, and his family is unable to afford the surgery that can save him. Maddy decides to get the money for her father's operation by robbing a high-security bank. She relies on her climbing skills and help from her geeky friends (Max Thieriot, Corbin Bleu) to pull it off successfully.",92,06/02/2004,,en,English,United States of America,"Fox 2000 Pictures, Mad Chance, Nimbus Film Productions, Mediastream Dritte Film GmbH & Co. Beteiligungs KG, Splendid Productions",18000000,16702864,76,4.9
Life as a House,Life as a House,Drama,"father son relationship, house, cancer, drug, divorce, ex-wife, unemployment","Seen from a distance, it's perfect.","When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father.",125,25/10/2001,,en,English,United States of America,New Line Cinema,18000000,0,120,7.2
Steve Jobs,Steve Jobs,"Drama, History","biography, computer, father daughter relationship, apple computer, steve jobs, based on true events",Can a great man be a good man?,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.",122,09/10/2015,http://www.stevejobsthefilm.com,en,English,United States of America,"Universal Pictures, Scott Rudin Productions, Legendary Pictures, The Mark Gordon Company, Management 360, Cloud Eight Films",30000000,34441873,1573,6.8
"I Love You, Beth Cooper","I Love You, Beth Cooper","Comedy, Romance","virgin, cheerleader, graduation, high school, aspen, friends, in the closet, teenager, popularity, based on young adult novel, popular girl",Popularity is nice. Popular girls are not.,"Nerdy teenager Denis Cooverman (Paul Rust) harbors a secret crush on Beth Cooper (Hayden Panettiere), the hottest girl in high school. During his graduation speech, Denis lets the cat out of the bag and declares his love for Beth, who, instead of dissing Denis, shows up at his house later that day and promises to show him the time of his life.",102,10/07/2009,http://www.iloveyoubethcoopermovie.com/,en,English,"Canada, United States of America","Ingenious Film Partners, 1492 Pictures, Fox Atomic, Dune Entertainment III, Bece Canada Productions",18000000,0,197,5.1
Youth in Revolt,Youth in Revolt,"Drama, Comedy, Romance","based on novel, coming of age, duringcreditsstinger","Every ""Revolution"" Needs A Leader","Nick Twisp (Michael Cera), a teen with a taste for the finer things in life like Sinatra and Fellini, falls hopelessly in love with the beautiful, free-spirited Sheeni Saunders (Portia Doubleday) while on a family vacation.  But family, geography and jealous ex-lovers conspire to keep these two apart. Nick abandons his dull, predictable life and develops a rebellious alter ego: François.  With his ascot, his moustache and his cigarette, François will stop at nothing to be with Sheeni, and leads Nick on a path of destruction with unpredictable consequences..",87,11/09/2009,http://youthinrevolt-themovie.com/,en,"English, Français",United States of America,Dimension Films,18000000,0,319,5.9
The Legend of the Lone Ranger,The Legend of the Lone Ranger,"Action, Adventure, Romance, Western","lone ranger, wild bill hickok, buffalo bill, the lone ranger","The untold story of the man behind the mask, and the legend behind the man.","When the young Texas Ranger, John Reid, is the sole survivor of an ambush arranged by the militaristic outlaw leader, Butch Cavendich, he is rescued by an old childhood Comanche friend, Tonto. When he recovers from his wounds, he dedicates his life to fighting the evil that Cavendich represents. To this end, John Reid becomes the great masked western hero, The Lone Ranger. With the help of Tonto, the pair go to rescue President Grant when Cavendich takes him hostage.",98,20/08/1981,,en,English,United States of America,ITC Entertainment,18000000,2945600,14,3.7
The Tailor of Panama,The Tailor of Panama,"Drama, Thriller","dancing, spy, birthday, map, fireworks, bridge, secret agent, president, children, independent film, debt, swimming, political, band","In a place this treacherous, what a good spy needs is a spy of his own.","A British spy is banished to Panama after having an affair with an ambassador's mistress. Once there he makes connection with a local tailor with a nefarious past and connections to all of the top political and gangster figures in Panama. The tailor also has a wife, who works for the Panamanian president and a huge debt. The mission is to learn what the President intends to do with the Canal.",109,11/02/2001,,en,"English, Español","Ireland, United States of America","Columbia Pictures, Merlin Films",21000000,28008462,92,6.2
Blow Out,Blow Out,"Drama, Mystery, Thriller","audio tape, hitman, presidential election, noises, yell, politics, faithlessness",Murder has a sound all of its own!,"Jack Terry is a master sound recordist who works on grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust.",108,24/07/1981,,en,English,United States of America,Cinema 77,18000000,12000000,236,7.3
Getaway,Getaway,"Action, Crime",,Get in. Get out. Getaway.,"Former race car driver Brent Magna (Hawke) is pitted against the clock. Desperately trying to save the life of his kidnapped wife, Brent commandeers a custom Ford Shelby GT500 Super Snake, taking it and its unwitting owner (Gomez) on a high-speed race against time, at the command of the mysterious villain holding his wife hostage.",90,29/08/2013,http://www.getawaymovie.com/,en,English,"Bulgaria, United States of America","Dark Castle Entertainment, Signature Pictures, After Dark Films, Silver Reel, Saints LA, Bomar OOD, thefyzz, Dunulf Productions, Emmitt Productions Limited, ADF Acquisitions",18000000,10501938,246,4.9
The Ice Storm,The Ice Storm,Drama,"based on novel, 1970s, thanksgiving, dysfunctional family, independent film","It was 1973, and the climate was changing.","In the weekend after thanksgiving 1973 the Hoods are skidding out of control. Benjamin Hood reels from drink to drink, trying not to think about his trouble at the office. His wife, Elena, is reading self help books and losing patience with her husband's lies. Their son, Paul, home for the holidays, escapes to the city to pursue an alluring rich girl from his prep school. Young, budding nymphomaniac, Wendy Hood roams the neighborhood, innocently exploring liquor cabinets and lingerie drawers of her friends' parents, looking for something new. Then an ice storm hits, the worst in a century.",112,27/09/1997,,en,English,"France, United States of America","Fox Searchlight Pictures, Good Machine, Canal+ Droits Audiovisuels",18000000,8038061,176,6.9
And So It Goes,And So It Goes,"Comedy, Drama, Romance","grandfather granddaughter relationship, neighbor, wealthy, elderly, estrangement",,A self-centered realtor enlists the help of his neighbor when he's suddenly left in charge of the granddaughter he never knew existed until his estranged son drops her off at his home.,94,20/07/2014,,en,English,United States of America,"Castle Rock Entertainment, Envision Entertainment, ASIG Productions",18000000,25312387,164,5.7
Troop Beverly Hills,Troop Beverly Hills,"Adventure, Comedy, Family","wilderness, teen angst","When the going gets tough, the tough go shopping!",A Beverly Hills housewife in the middle of a divorce tries to find focus in her life by taking over her daughter's Wilderness Girls troop.,105,22/03/1989,,en,English,United States of America,"Columbia Pictures, Weintraub Entertainment Group",0,0,56,5.6
